komentar,platform
" @rizalfaqihudin7408  ngerti, masalahnya yg ditu jukan adalah anak2 itu bisa ngelihat koin yg jatuh kebawah lewat lubang kecil dibawah lift..jadi bukan karena suara, tapi yg ditunjukan oleh sutradara, adalah anak itu tau ada koin dibawah lift karena mereka lihat ada koin jatuh lewat lubang kecil dengan jarak sejauh itu...
beda cerita kalo jatuh pas liftnya lg gak ada, trus orang2 yg depan lift tuh ngelihat wih ada koin yg jatuh bawah lift..tapi gak bisa diambil dan mereka lupa, baru anak2 ini ambil kesempatn...TAPI KAN ENGGA GITU DI CERITANYA...makanya gak masuk akal filmnya, minimal ada logika nya dikit walopun cuma film",youtube
"Santai guys, dia seleranya film horor murahan yg nostop jumpscere wkwk",youtube
Eh iya bru ngeh gw yg mslh koin itu... Tp klo mslh disruh cek jenazah ya mgkn krn itu ustad yg mengajarkn bhwa toni ga blh takut ma hantu gt mkny dia memaksakan,youtube
Pemainnya msin sma 😊,youtube
Org beragama di film kenapa di bikin lemah sekali,youtube
Wizz anying,youtube
lagi dong pengabdi setan 3,youtube
"Wkwk hantunya goblok,  yg di bunuh malah yg gak tau apa apa.  Pembunuhnya malah di biar bebas",youtube
Udah 9 bln berlalu dan msh mampir kesini karena trailernya mantap,youtube
Gw liat trailer ny aja mau copot jantung gara2 banyak jumpscare nya. Belom lagi liat full movie ny di bioskop. Mantap2!! Filem pak Joko Anway emang ngak pernah bikin kita semua pada kecewa.,youtube
Artis malysia tuhh peran ayah nya,youtube
It was scary as hell😂 joko anwar is no joke. I hate you that im afraid to go to jamban at night 😅,youtube
Alur cerita ngawur gak masuk akaal,youtube
Aleksis blackberry,youtube
Hotel gajah Mada jalan Hayam Wuruk (Ike fristiyanti)🇮🇩❤ Oakwood teku hapi 🇲🇾,youtube
Oakwood teku hapi 🇲🇾🐯🍉👻,youtube
Jokowi,youtube
"Penonton sesuai sama trailer 6,3jt keren parah",youtube
😄,youtube
PAJKYU MOTANAN,youtube
Nunggu yg ke3,youtube
Mau yang pengabdi setan 3 - cerita ibu dan bapaknya ikut sekte sesat tuhhh,youtube
Takut Pengabdi Setan 2 communion film yang jernih filmnya Itu Pengabdi Setan 2 communion yang jernih karena setan 2 communion yang jernih 13,youtube
"Ada teori kenapa mereka mati walau tak bersalah,karena raminom menuntut balas dengan alasan gagal membunuh keluarga rini yang menyembahnya,dan untuk menuntaskannya para anggota sekte meminta tumbal 1000 jiwa untuk raminom,dan disaat itu mereka yang seharusnya mati di lift harus dibunuh secara berbeda beda.",youtube
iya,youtube
Lo aja yg kagak paham,youtube
nonton yang dari pertama,youtube
Film diperuntukkan utk penyuka plot rumit dan deep ga ccok utk org yg suka jumpscare doang.. Coba nntn hereditary pst lu bakal lbh pusing wkwk,youtube
"Sbnrnya ini ga rumit""amat kok..",youtube
pemuja raminom semua 🤣,youtube
Scene lift nya 😱,youtube
"baru sekali ntn film joko anwar, jujur keren sih berasa bgt horrornya, walaupun story nya masi agak dipaksa, tp namanya genre horror harus horrornya yg mencekam😁",youtube
"Baru juga mulai,Langsung horor"" Aja😅",youtube
"3 orang yang mati. Pak ustad Tari dan Dino berhubungan dengan Toni, Toni memperbaikan radio dan habis itu dibuang disampah dan Tari mati dipembuangan sampah, Pak ustad minta dipijitin pinggangnya yang encok matinya pak ustadnya pinggangnya jadi pengkor dan dino minta ambilin garpu matinya kena garpu.",youtube
"vibes film the raid 
kesan kumuh digedung terbengkalay tempat markas gembong narkoba hidup",youtube
Pengabdi,youtube
Good trailer 👌 Love from  🇮🇳,youtube
Q heran gini doang kok serem,youtube
"Gue kira bakalan lebih baik film nya,eh ternyata malah boring nonton nya,kebanyakan efek suara yang gak jelas,serem bukan karena film nya,tapi dari sound nya aja,ceritanya malah keliatan seperti di buat buat,gak tampak nyata,😂🤣
Sorry gue cuma ngomong jujur aja,gue dari tahun 90an penggemar film makanya saya tau mana film berkualitas dan tidak,semoga kedepannya bisa lebih baik lagi,jangan terlalu di beri efek suara seram,tapi cerita dan alur nya harus tampak real dan menakutkan,masukan aja",youtube
"Film pengabdi setan 2 menit 10:36 ada motor mio soul gt biru putih,mang tahun 1980an udah ada?",youtube
Hantu nya ngak seram...jerit2 aja lebih...i give 3 star for grafik,youtube
"Kenapa sih film horo Indonesia berisik banget, suara percakapan jadi sering tenggelam? Jadi gak realistis.... trus, ustadznya kok dimatiin terus di PS 1 maupun PS 2, kesian tahu wkwkwk",youtube
Pendapat saya tentang film ini. Cukup bagus namun saya lebih suka suasana dan cerita pengabdian setan 1. Disini Banyak adegan janggal. Entah saya disini masih bingung dengan asal usul kakek tua dan sepasang kekasih di ending film nya. Dan Masih banyak scene yang kurang terungkap dengan jelas. Kayaknya masih ada film lanjutannya 🙏,youtube
"Ktanya akan ada yg ke 3, di Rumah ibu lgi ya?",youtube
Satu satunya film yang gw nonton sebanyak 5kali di bioskop,youtube
Sukaa sama pengabdi setan karna  horornya gak kebanyakan drama,youtube
"Gak nyangka bisa ngeliat ratu felisha lgi di film horror setelah sekian lma menghilang, anak 90'an pasti tau siapa ratu felisha",youtube
"Insidious, The Conjuring, The Nun,  dicampur tambahin sambel terasi = Pengabdi Setan 😂😂😂😂😂😂",youtube
Musik nya mirip sama insidious,youtube
Ini part 2?? Atau yg sama yang ditayang dulu??,youtube
Hal yang gw pelajari dari top global zilong,youtube
Pdhal film udh lama.bru komen skrg😁,youtube
hal yg gw pelajari dari film pengabdi setan 2,youtube
Awokwokw,youtube
Pdahal modal nonton bajakan:),youtube
​ @danilad803 nonton bajakan atau kagak memang kurang seram dan kurang disturbing.. Tp sbnrnya sdh cukup ok utk film indonesia,youtube
 @danilad803  di disney udah ada. emang kurang bagus malah bagusan yang pertama. kalo yang kedua kebanyakan cgi sama banyak scene ga penting,youtube
Baru komen ya kak? Nonton di bioskop apa bajakan? 😭,youtube
Ini kualitas nya tinggi njrirrt bisa sampe IMAX,youtube
Lu nnton d bioskop apa hasil bajakan burik😂,youtube
grafik apaan? haha.,youtube
 @sekawaelwilliam2693  CGI kurng,youtube
nah itu kayanya nnti diungkapin di film selanjutnya. kalau soal kakek tua klo dibuat spin off bagus juga mengenai dari awal kakek tua ini menginvestigasi soal komunitas pemuja setan yg ada d film ini.,youtube
 @sekawaelwilliam2693  menurut saya kakek tua di pengabdi setan 1 dia karakternya lebih antagonis. Sedangkan di pengabdi setan 2 malah lebih ke protagonis. Agak misterius ya🙏😁,youtube
drumah budi,youtube
Ybhhjd bvgcbvdbbcbcbb,youtube
bapak di pengabdi setan 2 🥶,youtube
"Where to watch the part 2 communion, I love the first part",youtube
"sya bingung dengan driku ini, kok masih mrasa kurang seram ya",youtube
Cuma pengabdi setan film horor Indonesia yg bikin q merinding,youtube
pengabdi setan 4 lagi,youtube
Yang tayang yang pertama mulu di Trans 7,youtube
Pengabdi Setan 2 kenapa ga tayang di TV ya padahal seru,youtube
"Huuft ,Masih mengadopsi gaya2 film Conjuring 🙄,, aku harap kedapan Joko Anwar tidak menghilangkan jati diri horor Indonesia,, seperti film perempuan tanah jahanam film itu khas Indonesia bnget",youtube
Ni yg bikin filim GK ada otak atau gimana masa ustad di bikin gitu malah di putar palanya,youtube
0:29 😂😂😂😂😂😂 There's no god but Allah 😂😂😂😂😂😂😂😂😂🐽,youtube
"Love from India, kerala💞",youtube
